date,optionID,optionK,optionName,volumeValue,open,high,low,close,SettlementPrice,volume,open interest,uplimit,downlimit,Delta,Gamma,Vega,Theta,Rho
2016/9/23,10000699,2.2,50ETF购2016年10月2.20,"3,831,437.00",0.066,0.0688,0.0614,0.0617,0.0617,"5,908","16,137",0.2909,0.0001,0.811,4.221,0.184,-0.146,0.162
2016/9/23,10000700,2.25,50ETF购2016年10月2.25,"6,287,460.00",0.0365,0.038,0.0321,0.0321,0.0321,"17,808","44,280",0.2622,0.0001,0.534,5.375,0.271,-0.195,0.107
2016/9/23,10000701,2.3,50ETF购2016年10月2.30,"2,203,352.00",0.0188,0.0198,0.0161,0.0161,0.0161,"12,140","51,891",0.2398,0.0001,0.305,4.165,0.239,-0.181,0.061
2016/9/23,10000702,2.35,50ETF购2016年10月2.35,"784,558.00",0.0101,0.0101,0.0081,0.0081,0.0081,"8,339","30,448",0.2255,0.0001,0.166,2.662,0.17,-0.138,0.034
2016/9/23,10000703,2.4,50ETF购2016年10月2.40,"255,747.00",0.0052,0.0054,0.004,0.004,0.004,"5,330","35,103",0.2161,0.0001,0.087,1.565,0.108,-0.094,0.018
2016/9/23,10000704,2.2,50ETF沽2016年10月2.20,"967,608.00",0.0134,0.015,0.0132,0.0145,0.0145,"6,804","30,412",0.2289,0.0001,-0.261,3.624,0.221,-0.142,-0.055
2016/9/23,10000705,2.25,50ETF沽2016年10月2.25,"4,207,615.00",0.0332,0.0355,0.0329,0.035,0.035,"12,280","34,528",0.259,0.0001,-0.47,4.231,0.271,-0.172,-0.1
2016/9/23,10000706,2.3,50ETF沽2016年10月2.30,"3,148,608.00",0.0668,0.0692,0.065,0.0689,0.0689,"4,690","16,058",0.2925,0.0001,-0.653,3.475,0.251,-0.169,-0.141
2016/9/23,10000707,2.35,50ETF沽2016年10月2.35,"1,784,808.00",0.1073,0.1105,0.1053,0.1103,0.1108,"1,649","6,940",0.3333,0.0001,-0.768,2.499,0.208,-0.149,-0.169
2016/9/23,10000708,2.4,50ETF沽2016年10月2.40,"1,588,325.00",0.1528,0.1562,0.1504,0.1562,0.1565,"1,034","6,140",0.378,0.0001,-0.834,1.781,0.169,-0.13,-0.186
2016/9/23,10000709,2.15,50ETF购2016年10月2.15,"3,737,665.00",0.1063,0.1088,0.1025,0.1027,0.1027,"3,549","12,054",0.3317,0.0001,1,0,0,-0.063,0.197
2016/9/23,10000710,2.15,50ETF沽2016年10月2.15,"264,441.00",0.0047,0.0052,0.0044,0.0051,0.0051,"5,415","27,119",0.2095,0.0001,-0.114,2.131,0.131,-0.087,-0.024
2016/9/22,10000555,1.85,50ETF购2016年9月1.85,"6,748,211.00",0.3973,0.4158,0.3973,0.4039,0.405,"1,660","1,769",0.6173,0.1687,1,0,0,-0.054,0.031
2016/9/22,10000556,1.9,50ETF购2016年9月1.90,"5,081,858.00",0.3473,0.3666,0.3473,0.3542,0.355,"1,421","2,742",0.5673,0.1187,1,0,0,-0.056,0.032
2016/9/22,10000557,1.95,50ETF购2016年9月1.95,"4,209,649.00",0.2974,0.3166,0.2974,0.3042,0.305,"1,366","2,087",0.5173,0.0687,1,0,0,-0.057,0.032
2016/9/22,10000558,2,50ETF购2016年9月2.00,"5,112,053.00",0.2474,0.2664,0.2474,0.2543,0.255,"1,982","3,268",0.4673,0.0187,1,0,0,-0.058,0.033
2016/9/22,10000559,2.05,50ETF购2016年9月2.05,"3,938,839.00",0.1975,0.216,0.1975,0.2047,0.205,"1,890","3,407",0.4173,0.0001,1,0,0,-0.06,0.034
2016/9/22,10000560,1.85,50ETF沽2016年9月1.85,428,0.0002,0.0002,0.0001,0.0001,0.0001,426,"9,520",0.1459,0.0001,-0.001,0.024,0.001,-0.015,0
2016/9/22,10000561,1.9,50ETF沽2016年9月1.90,672,0.0003,0.0003,0.0001,0.0001,0.0002,638,"10,477",0.1559,0.0001,-0.004,0.077,0.003,-0.05,0
2016/9/22,10000562,1.95,50ETF沽2016年9月1.95,581,0.0003,0.0003,0.0001,0.0002,0.0002,292,"11,475",0.166,0.0001,-0.005,0.112,0.004,-0.055,0
2016/9/22,10000563,2,50ETF沽2016年9月2.00,"1,955.00",0.0003,0.0003,0.0001,0.0002,0.0002,975,"12,052",0.176,0.0001,-0.007,0.169,0.005,-0.062,0
2016/9/22,10000564,2.05,50ETF沽2016年9月2.05,"5,530.00",0.0005,0.0005,0.0003,0.0003,0.0003,"1,262","11,820",0.1862,0.0001,-0.01,0.275,0.007,-0.071,0
2016/9/22,10000569,1.8,50ETF购2016年9月1.80,"10,542,669.00",0.447,0.466,0.447,0.4542,0.455,"2,310","3,036",0.6673,0.2187,1,0,0,-0.053,0.03
2016/9/22,10000570,1.8,50ETF沽2016年9月1.80,280,0.0002,0.0002,0.0001,0.0001,0.0001,279,"24,587",0.1359,0.0001,0,0.006,0,-0.004,0
2016/9/22,10000571,2.1,50ETF购2016年9月2.10,"5,063,478.00",0.1476,0.1667,0.1476,0.1548,0.155,"3,197","6,445",0.3674,0.0001,1,0,0,-0.061,0.035
2016/9/22,10000572,2.1,50ETF沽2016年9月2.10,"22,339.00",0.0006,0.0008,0.0005,0.0005,0.0005,"3,527","24,569",0.1965,0.0001,-0.02,0.611,0.014,-0.114,-0.001
2016/9/22,10000573,2.15,50ETF购2016年9月2.15,"12,906,746.00",0.0979,0.1176,0.0979,0.1049,0.105,"11,822","10,065",0.3183,0.0001,1,0,0,-0.063,0.036
2016/9/22,10000574,2.15,50ETF沽2016年9月2.15,"60,191.00",0.0009,0.001,0.0007,0.0008,0.0008,"6,898","33,556",0.2068,0.0001,-0.032,1.222,0.021,-0.126,-0.001
2016/9/22,10000591,2.2,50ETF购2016年9月2.20,"19,771,163.00",0.054,0.0677,0.0515,0.0551,0.0551,"33,371","22,943",0.2715,0.0001,1,0,0,-0.064,0.037
2016/9/22,10000592,2.2,50ETF沽2016年9月2.20,"309,455.00",0.003,0.0031,0.0012,0.0014,0.0014,"17,696","53,393",0.2203,0.0001,-0.077,3.601,0.042,-0.168,-0.003
2016/9/22,10000595,2.25,50ETF购2016年9月2.25,"8,791,575.00",0.018,0.0255,0.0143,0.0146,0.0146,"46,666","61,806",0.2376,0.0001,0.588,13.781,0.113,-0.368,0.022
2016/9/22,10000596,2.25,50ETF沽2016年9月2.25,"3,315,956.00",0.0141,0.0152,0.0071,0.0088,0.0088,"32,823","45,288",0.2442,0.0001,-0.414,13.399,0.113,-0.312,-0.016
2016/9/22,10000599,2.3,50ETF购2016年9月2.30,"1,540,316.00",0.0055,0.0072,0.0028,0.0029,0.0029,"29,817","110,395",0.2232,0.0001,0.141,5.583,0.065,-0.278,0.005
2016/9/22,10000600,2.3,50ETF沽2016年9月2.30,"13,818,994.00",0.0526,0.0549,0.039,0.0481,0.0481,"29,839","25,582",0.2847,0.0001,-0.827,5.608,0.075,-0.295,-0.032
2016/9/22,10000615,2.05,50ETF购2016年12月2.006A,"1,624,612.00",0.2056,0.2226,0.2053,0.2075,0.2076,762,"3,883",0.4237,0.0001,1,0,0,-0.059,0.548
2016/9/22,10000616,2.1,50ETF购2016年12月2.055A,"1,999,366.00",0.1645,0.18,0.1645,0.1665,0.1668,"1,179","5,767",0.385,0.0001,1,0,0,-0.061,0.561
2016/9/22,10000617,2.15,50ETF购2016年12月2.104A,"1,292,989.00",0.1396,0.1437,0.1293,0.1293,0.1293,945,"6,944",0.3508,0.0001,0.872,1.856,0.245,-0.098,0.495
2016/9/22,10000618,2.2,50ETF购2016年12月2.153A,"824,219.00",0.1054,0.1118,0.1003,0.1006,0.1006,777,"7,301",0.3221,0.0001,0.703,2.363,0.405,-0.137,0.4
2016/9/22,10000619,2.25,50ETF购2016年12月2.202A,"1,358,353.00",0.0774,0.086,0.0754,0.0754,0.0761,"1,697","17,359",0.2984,0.0001,0.57,2.43,0.46,-0.153,0.326
2016/9/22,10000620,2.05,50ETF沽2016年12月2.006A,"354,353.00",0.015,0.015,0.0108,0.0113,0.0113,"2,863","19,936",0.2013,0.0001,-0.113,0.961,0.224,-0.063,-0.072
2016/9/22,10000621,2.1,50ETF沽2016年12月2.055A,"898,176.00",0.0247,0.0251,0.0187,0.0202,0.0196,"4,284","16,332",0.2224,0.0001,-0.175,1.287,0.301,-0.084,-0.111
2016/9/22,10000622,2.15,50ETF沽2016年12月2.104A,"735,413.00",0.0392,0.0405,0.0318,0.0336,0.0336,"2,069","15,007",0.2483,0.0001,-0.257,1.559,0.378,-0.106,-0.165
2016/9/22,10000623,2.2,50ETF沽2016年12月2.153A,"883,542.00",0.0612,0.0612,0.0499,0.0535,0.0535,"1,641","14,501",0.2799,0.0001,-0.349,1.713,0.433,-0.124,-0.226
2016/9/22,10000624,2.25,50ETF沽2016年12月2.202A,"786,125.00",0.0836,0.0866,0.074,0.0785,0.0785,"1,000","12,894",0.3145,0.0001,-0.44,1.753,0.462,-0.133,-0.288
